195	1070	3
185	662	3
21	340	1
243	815	2
165	1205	1
297	1064	4
114	821	2
252	948	5
304	796	3
5	171	3
61	1567	2
285	967	5
199	499	5
209	1102	3
223	1033	3
302	320	3
121	1257	5
193	784	2
290	1200	4
233	1179	2
118	501	4
166	279	4
298	1069	4
290	1552	2
307	495	4
94	1369	2
37	1393	5
101	1420	2
62	731	4
159	1465	5
49	1216	3
300	688	4
224	766	4
289	172	4
96	1073	3
156	784	4
180	1127	1
277	1178	5
275	1030	1
6	1320	4
9	94	4
283	1051	4
200	1417	2
275	893	3
286	399	5
245	1022	5
241	39	5
248	661	5
98	488	5
177	88	3
250	439	4
80	244	2
259	619	4
24	1511	5
58	1423	5
71	1363	2
86	958	4
289	1151	5
41	674	5
291	658	4
114	40	3
19	1135	1
200	1533	4
12	1	3
245	218	4
137	470	5
166	1497	1
59	1157	5
56	1051	5
222	784	4
188	1412	4
242	812	3
91	846	1
245	1126	3
193	477	4
240	413	2
177	722	4
253	152	3
292	103	3
126	852	5
224	1587	5
298	852	3
224	1076	5
275	516	3
290	1069	5
221	1171	4
266	178	5
41	146	3
10	339	4
94	405	4
7	1483	4
161	1521	4
86	1553	4
278	242	5
144	344	2
118	1160	5
61	246	4
61	940	3
27	1156	4
134	455	4
31	1115	3
89	940	5
285	640	4
292	1246	3
215	1069	4
165	1427	5
249	618	4
270	55	5
159	139	5
264	1552	4
197	246	3
41	1484	5
167	758	5
109	433	4
57	1069	4
89	386	4
270	1205	4
61	828	3
278	1172	3
236	1254	4
93	1260	4
127	502	3
297	1365	4
43	1404	5
263	125	5
193	216	2
71	1404	5
221	607	5
249	1529	3
40	821	3
223	41	3
81	294	3
261	678	4
292	483	3
215	99	3
249	916	3
58	455	5
285	1250	5
243	639	4
6	750	4
173	691	1
86	784	4
193	1566	2
81	708	2
12	737	2
12	302	4
243	466	2
304	1157	5
94	303	2
42	1338	2
298	117	4
56	1562	3
83	992	3
268	1545	4
298	339	3
193	199	4
159	294	4
98	1196	3
9	279	4
258	789	4
84	1157	3
302	218	4
212	249	5
120	1254	3
89	688	5
48	837	2
41	896	3
67	789	4
171	403	4
18	488	4
267	396	4
4	1591	3
304	789	2
43	1115	4
42	272	4
278	1442	1
79	199	5
253	1187	4
297	1251	3
278	379	1
65	438	4
17	1277	3
267	1015	2
98	507	4
12	688	4
25	511	3
6	46	4
221	283	4
199	29	5
118	1427	4
212	1516	5
275	619	3
93	827	3
129	1250	4
37	1427	4
159	1293	3
292	630	3
25	1507	2
129	527	4
91	1470	3
255	935	4
0	393	4
71	835	4
55	283	3
12	1569	4
14	992	2
91	529	3
206	1445	2
291	139	5
231	10	5
250	113	2
223	470	3
180	101	4
258	111	4
304	483	4
51	1239	3
160	1331	5
147	982	5
124	1238	2
96	1321	5
57	918	4
82	1465	4
89	818	4
271	1276	5
193	1511	3
124	506	4
109	1481	1
298	1338	4
150	582	5
268	410	4
5	1338	5
53	449	3
302	547	5
15	228	1
300	600	4
275	743	3
304	418	2
193	537	2
86	457	4
293	897	4
285	74	4
199	730	5
228	1427	1
177	358	4
302	1308	2
61	998	4
206	877	3
91	1516	4
35	1233	5
69	1448	3
62	1070	3
27	1022	3
278	1287	4
249	783	4
13	688	3
298	1534	3
193	516	3
302	639	3
118	1587	5
294	1294	5
267	1507	2
267	1591	2
65	511	4
232	1331	5
82	569	4
213	514	3
191	1445	2
99	1020	4
267	1132	1
300	1093	4
306	627	5
233	314	3
82	214	4
180	1529	2
296	1538	4
37	1590	5
6	940	4
263	701	4
180	1575	1
200	351	1
84	1439	4
268	991	3
58	536	3
285	1151	4
192	1484	1
112	1525	5
291	253	5
129	967	3
274	688	4
188	481	5
218	1570	1
217	1156	5
122	1157	3
118	499	5
157	403	4
221	1552	4
301	619	2
278	874	3
300	507	5
180	1147	2
200	493	1
12	1245	3
0	924	3
144	1587	5
22	216	4
200	1231	4
295	881	5
41	1369	3
32	1575	3
300	457	3
15	198	5
94	294	3
153	677	4
76	791	5
295	689	5
301	825	2
243	29	3
221	529	4
12	751	5
15	881	5
269	935	4
144	812	2
186	198	5
199	1051	5
169	346	5
100	1561	3
183	1294	3
127	1559	4
180	444	1
183	1590	3
0	1000	4
0	1122	4
183	1283	5
53	1525	3
93	73	4
127	689	4
300	657	3
300	361	3
111	1357	1
81	311	3
221	1496	3
217	1379	3
307	1513	4
302	757	5
132	782	3
214	570	2
68	556	5
253	1482	4
275	1591	4
103	605	1
62	165	3
266	496	4
12	1093	5
239	1109	3
285	1587	2
293	665	5
89	1349	4
17	470	4
91	852	3
307	1406	4
143	627	3
190	662	4
58	653	3
199	1484	5
15	1094	5
60	833	3
270	933	4
270	959	3
141	238	5
274	341	3
221	758	3
86	1102	3
206	511	4
271	1542	2
176	919	4
206	53	2
298	755	3
270	855	4
304	643	4
48	110	2
