195	1273	0
185	1	0
21	735	0
243	543	0
165	717	0
297	612	1
114	941	0
252	599	1
304	571	0
5	304	0
61	5	0
285	208	1
199	644	1
209	1174	0
223	675	0
302	980	0
121	1468	1
193	832	0
290	1581	1
233	808	0
118	911	1
166	652	1
298	1213	1
290	1158	0
307	760	1
94	1159	0
37	877	1
101	1507	0
62	1392	1
159	1517	1
49	1029	0
300	1483	1
224	202	1
289	117	1
96	1300	0
156	832	1
180	276	0
277	1137	1
275	174	0
6	865	1
9	639	1
283	1250	1
200	1374	0
275	251	0
286	78	1
245	1074	1
241	679	1
248	131	1
98	150	1
177	1341	0
250	868	1
80	732	0
259	1310	1
24	985	1
58	1238	1
71	838	0
86	1489	1
289	226	1
41	1490	1
291	967	1
114	1316	0
19	910	0
200	234	1
12	18	0
245	1587	1
137	250	1
166	810	0
59	886	1
56	1250	1
222	832	1
188	706	1
242	480	0
91	525	0
245	182	0
193	1546	1
240	1221	0
177	1106	1
253	220	0
292	691	0
126	1109	1
224	944	1
298	1109	0
224	956	1
275	1141	0
290	1213	1
221	1299	1
266	181	1
41	137	0
10	1155	1
94	633	1
7	215	1
161	1367	1
86	551	1
278	1160	1
144	379	0
118	87	1
61	674	1
61	166	0
27	23	1
134	1350	1
31	937	0
89	166	1
285	585	1
292	498	0
215	1213	1
165	391	1
249	904	1
270	110	1
159	310	1
264	1158	1
197	674	0
41	278	1
167	874	1
109	1063	1
57	1213	1
89	116	1
270	717	1
61	733	0
278	722	0
236	387	1
93	363	1
127	463	0
297	333	1
43	285	1
263	315	1
193	1345	0
71	285	1
221	570	1
249	164	0
40	941	0
223	1510	0
81	185	0
261	394	1
292	228	0
215	1142	0
249	1152	0
58	1350	1
285	193	1
243	1211	1
6	68	1
173	902	0
86	832	1
193	856	0
81	336	0
12	408	0
12	389	1
243	1129	0
304	886	1
94	1266	0
42	1542	0
298	878	1
56	1425	0
83	1303	0
268	620	1
298	1155	0
193	1247	1
159	185	1
98	805	0
9	652	1
258	442	1
84	886	0
302	1587	1
212	334	1
120	387	0
